"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,1.53182943355944e-06,100,4,5e-06,0.3,4
"2",11,1.23453509313702e-05,200,10,5e-06,0.3,4
"3",324,0.00903386065996727,5000,10,5e-06,0.2,3
"4",5,14.6910662034529,1000,5,0.01,0.1,3
"5",1,0.057400228843329,1000,5,1e-04,0.5,5
"6",484,0.196973188299125,5000,5,5e-05,0.3,5
"7",1,0.00621245610368674,5000,4,5e-06,0.3,3
"8",1,5.46732244419036,200,4,0.01,0.3,4
"9",1,0.00196082952970437,200,5,1e-04,0.5,2
"10",2,4.46836515926865,100,10,0.01,0.1,3
