"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,2.4863449884831,1000,4,1e-04,0.3,5
"2",13,87.7653072447156,200,5,0.005,0.5,3
"3",1919,11.7158707516485,5000,5,5e-05,0.5,3
"4",1,0.108075229554975,500,5,5e-05,0.2,3
"5",186,1171.6961669522,5000,5,0.01,0.3,4
"6",801,11.0719731257244,5000,4,1e-04,0.3,2
"7",1,661.086887835703,1000,5,0.01,0.3,4
"8",1,0.0474468073366849,100,10,1e-04,0.1,3
"9",29,0.000103034317790338,100,10,5e-06,0.1,4
"10",13,129.294457154688,500,4,0.01,0.5,2
