"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",44,9.23062679106049,1000,5,0.01,0.3,4
"2",1,0.000211554762009711,100,10,5e-05,0.5,2
"3",12,5.21141890956853,500,5,0.005,0.3,3
"4",6,5.00465930997225e-05,500,10,5e-06,0.1,4
"5",4,1.46958399864353,100,10,0.005,0.2,5
"6",40,2.31381374889529e-06,200,4,5e-06,0.3,2
"7",181,2.5136860699188e-05,500,10,5e-06,0.3,2
"8",1,6.82060674988612,1000,4,0.005,0.5,2
"9",20,0.00500101637238253,200,10,1e-04,0.5,3
"10",5,1.65077974215558e-06,100,5,5e-06,0.1,4
