"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",194,0.00606674446763573,500,10,5e-05,0.1,3
"2",1,0.00464837245302468,500,4,5e-05,0.3,5
"3",42,1.88690841678426,200,4,0.01,0.3,4
"4",215,3.12724855766109e-05,500,10,5e-06,0.2,2
"5",18,0.000528580889032395,100,10,1e-04,0.3,3
"6",1,0.00207926635418198,200,10,5e-05,0.5,5
"7",176,6.51062493766832e-05,500,10,5e-06,0.2,3
"8",27,1.29904312063621,100,4,0.01,0.1,5
"9",36,5.07163628605182e-06,200,4,5e-06,0.1,4
"10",36,6.44387100613577,1000,5,0.005,0.2,3
