"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,35.2736566916699,1000,10,0.01,0.2,5
"2",1,7.44948224394172,500,5,0.005,0.2,2
"3",1,10.0369178828331,500,5,0.005,0.3,5
"4",39,8.5138417088328e-06,200,4,5e-06,0.2,4
"5",17,0.00111928708176514,100,4,1e-04,0.1,5
"6",432,1.50402067433888,5000,10,1e-04,0.1,4
"7",1138,0.0197853007758143,5000,10,5e-06,0.5,4
"8",1,0.0140936567208387,500,10,5e-05,0.2,2
"9",22,15.9573276344488,1000,4,0.01,0.3,4
"10",173,0.00012675589021956,1000,5,5e-06,0.2,3
