"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,47.5189064886344,1000,10,0.01,0.5,4
"2",1,0.00309288711715143,100,10,1e-04,0.2,4
"3",1,2.92837248674657,100,5,0.01,0.2,2
"4",1,2.8486840842489,200,4,0.01,0.3,5
"5",1,0.0253964264061332,500,10,1e-04,0.2,2
"6",1,2.72496133828976,200,5,0.005,0.1,3
"7",1,0.00109143361574912,100,5,1e-04,0.1,2
"8",1,0.00633193956975033,500,4,5e-05,0.5,4
"9",1,1.33881849899752e-05,200,10,5e-06,0.5,2
"10",1,1.45422955348934e-06,100,4,5e-06,0.3,3
