"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",21,22.9044565591896,200,10,0.01,0.1,4
"2",75,124.581238939276,5000,5,0.005,0.3,4
"3",1,0.128042457318568,1000,5,5e-05,0.5,3
"4",100,0.136645745500836,1000,10,5e-05,0.2,4
"5",82,0.00430305884897037,200,5,5e-05,0.1,5
"6",261,0.00926659253395138,500,5,5e-05,0.1,2
"7",14,111.381943647119,1000,10,0.01,0.3,2
"8",52,21.2243697556453,1000,5,0.005,0.1,2
"9",237,0.00014395086465429,500,5,5e-06,0.1,4
"10",78,0.000676288316504633,1000,5,5e-06,0.2,5
