"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",5,42.2737270156111,200,10,0.01,0.1,4
"2",113,110.801316865062,5000,5,0.005,0.3,4
"3",819,0.0861032099072591,1000,5,5e-05,0.5,3
"4",1,0.402447016220062,1000,10,5e-05,0.2,4
"5",13,0.00417487675346061,200,5,5e-05,0.1,5
"6",62,0.00686920325766122,500,5,5e-05,0.1,2
"7",44,97.1079400269193,1000,10,0.01,0.3,2
"8",10,42.0509166600864,1000,5,0.005,0.1,2
"9",189,0.000146204755973402,500,5,5e-06,0.1,4
"10",395,0.00169091789746942,1000,5,5e-06,0.2,5
