"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",29,0.0247696577033791,200,5,1e-04,0.1,5
"2",136,0.00722489863489913,500,4,5e-05,0.5,3
"3",1,0.0313813888994117,500,5,5e-05,0.5,3
"4",259,0.298569322060174,1000,10,5e-05,0.2,4
"5",45,0.00617988620976626,200,5,5e-05,0.1,5
"6",1,0.018594541176794,200,10,5e-05,0.2,5
"7",1,0.0233180838145466,200,5,1e-04,0.5,5
"8",1,0.00359635654071031,100,10,5e-05,0.1,4
"9",16,14.3562356001766,200,5,0.01,0.1,2
"10",362,0.00150030053521568,1000,5,5e-06,0.2,5
