"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",4,0.0107312015380858,200,4,1e-04,0.1,3
"2",1,6.43261289885687,100,4,0.01,0.2,5
"3",79,0.000138873354505114,500,5,5e-06,0.5,5
"4",7,0.00211402014970102,100,10,5e-05,0.3,3
"5",6,4.11989529514101e-06,100,5,5e-06,0.2,2
"6",1,0.00263673263660923,100,10,5e-05,0.2,3
"7",1,59.2615933929994,1000,10,0.005,0.3,3
"8",45,3.65210109269083e-06,200,4,5e-06,0.3,2
"9",1,4.21695999862863,200,4,0.005,0.3,5
"10",1,5.7387559471678e-06,100,5,5e-06,0.3,4
