"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",918,0.0558958606534063,1000,5,1e-04,0.1,3
"2",172,17.2613322263801,1000,10,0.01,0.3,5
"3",405,0.0205879352919129,500,10,1e-04,0.2,3
"4",160,3.10872895924726,200,4,0.01,0.2,4
"5",425,4.07567332665632e-05,500,5,5e-06,0.2,5
"6",182,1.91797425741386,200,4,0.005,0.3,5
"7",81,0.000649556576958637,100,5,1e-04,0.1,2
"8",270,8.31154585266324,1000,10,0.005,0.1,2
"9",78,2.67122916773431,100,10,0.01,0.5,5
"10",89,0.000600585457293635,100,4,1e-04,0.3,5
