"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",51,17.738933170752,200,4,0.01,0.2,4
"2",171,0.00030865431903266,500,10,5e-06,0.5,3
"3",184,0.00100991270026571,500,10,5e-06,0.2,5
"4",51,27.4116769326867,500,4,0.005,0.1,4
"5",36,3.32778741996945e-05,200,5,5e-06,0.1,3
"6",63,5.92633927559589e-05,200,10,5e-06,0.3,2
"7",26,0.00904928510831999,100,10,1e-04,0.5,4
"8",140,0.0378655863252945,500,10,5e-05,0.3,3
"9",1,0.0421712430603914,200,10,1e-04,0.2,4
"10",67,17.0445355403453,500,5,0.005,0.2,3
