"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",78,0.000171917064034,500,10,5e-06,0.5,2
"2",60,0.00199930879364554,1000,10,5e-06,0.5,5
"3",245,0.0333800057609015,500,5,1e-04,0.5,3
"4",75,0.00214474269010917,200,4,5e-05,0.2,4
"5",19,0.00054627938837566,100,4,5e-05,0.1,5
"6",116,0.0981500209087043,500,10,1e-04,0.2,3
"7",20,6.18938949727565,100,10,0.005,0.3,4
"8",32,3.31433834500711,100,5,0.01,0.5,3
"9",20,0.00549271243814013,200,10,5e-05,0.1,5
"10",65,29.059745830624,1000,4,0.005,0.5,5
