"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",264,4.43009121166052,1000,4,0.005,0.1,5
"2",41,0.000106294764991171,100,5,5e-05,0.2,3
"3",27,0.000714737762591004,100,10,1e-04,0.1,2
"4",41,0.000546666165550353,100,10,1e-04,0.2,2
"5",108,13.3721427451125,1000,10,0.01,0.1,3
"6",433,0.0077333289571247,1000,5,5e-05,0.3,2
"7",35,0.000178945621762076,100,10,5e-05,0.1,5
"8",107,1.16322372721427,200,5,0.005,0.2,5
"9",112,3.61734667704653e-06,200,4,5e-06,0.5,4
"10",58,6.5524733668764e-05,100,5,5e-05,0.5,2
