"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.716588403727668,100,4,0.005,0.5,2
"2",1,34.825395534413,5000,10,0.005,0.3,3
"3",1,0.205770878013388,5000,5,5e-05,0.1,3
"4",1,3.58112148222979,200,4,0.01,0.1,5
"5",19,3.19558548622497e-06,200,5,5e-06,0.2,2
"6",4,0.00025248140385301,100,10,5e-05,0.1,5
"7",23,44.4135424083665,5000,10,0.01,0.3,4
"8",3,9.00010810362569,500,10,0.005,0.1,5
"9",23,5.04809208490705e-07,100,4,5e-06,0.1,2
"10",1,0.000573931719363549,100,4,1e-04,0.1,3
