"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.00377236340962328,200,10,1e-04,0.2,4
"2",90,7.94775092865032e-05,1000,4,5e-06,0.2,5
"3",1,6.89784002173061,500,4,0.01,0.2,5
"4",1,6.59979026748864e-05,500,10,5e-06,0.5,4
"5",36,0.00174238528342156,200,5,1e-04,0.3,5
"6",25,14.0456599600377,1000,10,0.01,0.3,2
"7",20,6.09288363833795,200,10,0.01,0.3,5
"8",8,0.803244598224662,100,4,0.01,0.1,5
"9",15,22.6844554278144,5000,5,0.005,0.2,5
"10",1025,0.0957296175939972,5000,4,5e-05,0.1,3
