"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",16,0.000471826235615507,200,5,5e-05,0.2,4
"2",103,0.00366632948660541,500,4,1e-04,0.3,2
"3",10,1.04809016172236e-05,200,10,5e-06,0.3,4
"4",60,0.00428721100125324,500,10,5e-05,0.5,3
"5",51,0.00373696244344083,200,10,1e-04,0.1,5
"6",11,21.8761795144593,1000,10,0.01,0.1,5
"7",1,0.0139570903921435,500,5,1e-04,0.1,5
"8",1,13.2832975111775,500,10,0.01,0.3,4
"9",1,5.63922187502691e-05,500,10,5e-06,0.5,4
"10",381,0.00384699030380819,1000,5,5e-05,0.5,2
