"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",16,32.1922453667158,5000,5,0.01,0.3,4
"2",1,0.000477960483714066,100,4,1e-04,0.3,5
"3",9,0.5600315926694,100,4,0.005,0.1,5
"4",2,0.0008944786606786,100,10,1e-04,0.1,3
"5",1,16.6340151128721,500,10,0.01,0.5,2
"6",30,3.3167999893186e-06,200,4,5e-06,0.5,3
"7",771,0.328071593967964,5000,10,5e-05,0.5,3
"8",1,2.48396402159139,200,4,0.01,0.2,4
"9",94,27.557961680701,5000,10,0.005,0.5,5
"10",495,0.00224786375868576,1000,4,5e-05,0.3,2
