"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,6.26097375138509e-06,200,5,5e-06,0.3,4
"2",24,3.81997260465186e-05,100,5,5e-05,0.5,2
"3",953,0.0484713288100781,5000,4,5e-05,0.2,3
"4",105,0.00272003273432703,500,5,1e-04,0.1,2
"5",1,5.1676802027374e-05,500,10,5e-06,0.1,4
"6",5,0.37069817890573,100,4,0.005,0.1,4
"7",24,12.721928899522,5000,5,0.005,0.2,3
"8",1,8.68302163736616,1000,10,0.005,0.3,4
"9",15,0.000248021880082671,100,4,1e-04,0.3,5
"10",1,0.178830547678967,5000,4,5e-05,0.3,5
