"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",30,1.20136060486093e-06,100,4,5e-06,0.5,2
"2",56,0.0564023970510407,1000,10,5e-05,0.3,4
"3",49,0.0356796655722168,500,10,5e-05,0.3,5
"4",61,0.010700498479016,500,4,5e-05,0.5,5
"5",154,0.0048840510598155,500,5,5e-05,0.5,2
"6",67,1.79675641595995e-05,100,10,5e-06,0.3,5
"7",264,0.448046999071665,1000,10,1e-04,0.5,5
"8",17,3.44489312039372,100,10,0.005,0.1,3
"9",2,17.9498243859766,1000,4,0.005,0.2,2
"10",120,10.7596679446853,1000,4,0.005,0.2,3
