"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",686,3.68526167987224e-05,1000,10,5e-06,0.3,2
"2",856,0.00237588900458551,1000,5,5e-05,0.2,3
"3",295,0.984228322564275,500,10,0.005,0.1,5
"4",175,0.000393662430072962,200,5,1e-04,0.3,3
"5",73,0.000152073767008652,100,10,1e-04,0.3,3
"6",429,0.000568611987857411,500,5,5e-05,0.1,2
"7",251,0.880715154993844,500,10,0.005,0.1,3
"8",81,0.199624711415147,100,5,0.005,0.3,4
"9",137,1.32618152198002e-06,200,5,5e-06,0.1,2
"10",173,0.000482618499542767,200,5,1e-04,0.3,4
