"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",183,9.93461849841202e-05,500,4,5e-06,0.3,4
"2",29,5.21349764054503e-05,200,10,5e-06,0.1,5
"3",394,1.34791253624715,5000,5,1e-04,0.3,3
"4",284,0.000161955108819016,1000,4,5e-06,0.2,3
"5",129,0.000139913364435383,1000,4,5e-06,0.5,2
"6",281,0.191819215145431,1000,10,1e-04,0.1,5
"7",106,1.97361462868119,5000,5,1e-04,0.3,3
"8",1,2.11420646888248,100,4,0.005,0.5,3
"9",1,0.00727287090462465,5000,4,5e-06,0.5,3
"10",6,10.1178787507748,500,5,0.005,0.2,5
