"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",267,2.21754319499961,500,10,0.005,0.1,2
"2",36,0.778389408884193,100,5,0.005,0.5,5
"3",93,7.2201170574012,1000,4,0.01,0.5,4
"4",289,8.71078213393188,5000,4,0.005,0.3,3
"5",314,9.87127145371403,5000,4,0.005,0.1,4
"6",41,0.532470009599578,100,10,0.005,0.2,4
"7",245,1.45415650897067,500,5,0.005,0.3,4
"8",92,3.0948135488272e-06,200,5,5e-06,0.1,4
"9",250,0.00687180228410526,500,4,1e-04,0.5,4
"10",286,8.73205207209867,5000,5,0.005,0.1,2
