"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1190,0.000247581904689398,5000,5,5e-06,0.5,5
"2",5,0.0271199340090992,100,4,0.01,0.1,4
"3",136,0.000664381434350284,1000,5,1e-04,0.2,4
"4",102,2.82853094700667e-06,1000,5,5e-06,0.2,3
"5",1,0.0431460130418215,200,10,0.005,0.2,2
"6",243,0.00126039246559511,1000,5,1e-04,0.1,4
"7",7,5.72098799027334e-06,100,5,5e-05,0.2,3
"8",1,0.0840742203542534,1000,4,0.005,0.2,3
"9",13,0.117888995934728,100,10,0.01,0.3,4
"10",1,1.53088205164308e-06,500,5,5e-06,0.5,3
