"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.425805083586538,100,4,0.01,0.5,2
"2",1,0.00017564409921645,100,5,5e-05,0.5,5
"3",1,0.0207504365593925,500,10,1e-04,0.3,2
"4",1,4.46209873424287,1000,4,0.005,0.5,5
"5",1,7.55794675651194,1000,10,0.005,0.1,4
"6",2,0.00247137372821881,200,10,1e-04,0.1,3
"7",1,7.71482416264392e-06,200,10,5e-06,0.2,2
"8",1,0.013135553923273,1000,5,5e-05,0.1,5
"9",1,0.945812541279019,100,5,0.01,0.1,5
"10",30,5.41407869995772e-05,500,10,5e-06,0.2,5
