"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.215007026091394,500,5,1e-04,0.1,4
"2",104,0.0344479516769539,500,4,5e-05,0.2,5
"3",14,172.544627673215,1000,5,0.01,0.5,5
"4",39,50.772907754982,500,4,0.01,0.2,4
"5",218,0.00190971837985052,1000,5,5e-06,0.5,5
"6",1,0.00158473142567191,100,5,5e-05,0.2,3
"7",3,1.68676625461614e-05,100,4,5e-06,0.1,3
"8",5,0.00478382171677357,100,4,1e-04,0.2,2
"9",18,441.8845636738,5000,5,0.01,0.3,4
"10",1,0.00495109813449864,100,5,1e-04,0.1,2
