"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,22.9905330641006,200,4,0.01,0.2,2
"2",269,3.20928575276857,5000,10,5e-05,0.5,3
"3",1,13.8419721024799,100,5,0.01,0.1,2
"4",2,53.7054917250124,500,10,0.005,0.1,5
"5",1,41.8203353135152,1000,4,0.005,0.1,3
"6",1,57.3155105706395,500,5,0.01,0.2,4
"7",1,0.00204986249904658,100,5,5e-05,0.1,4
"8",1,151.194721939835,5000,4,0.005,0.1,2
"9",2,12.1709795862174,100,5,0.01,0.1,2
"10",61,0.18283838977944,1000,10,5e-05,0.5,3
