"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.00824764341091368,5000,4,5e-06,0.2,5
"2",1,0.00149700472101667,200,4,5e-05,0.5,5
"3",1,0.0738642960522245,500,10,1e-04,0.1,5
"4",1,0.00111374386327382,200,4,5e-05,0.3,5
"5",38,0.0564997278329559,1000,10,5e-05,0.2,5
"6",1,0.039170861668718,500,5,1e-04,0.2,2
"7",1,9.21310433941703,200,5,0.01,0.5,5
"8",7,0.00389371528168698,200,4,1e-04,0.1,5
"9",1,84.3419304087428,5000,4,0.01,0.3,5
"10",23,5.59864184441648e-05,500,4,5e-06,0.3,4
