"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",71,0.0160242983861496,500,10,5e-05,0.3,4
"2",54,5.64349703463892e-05,500,4,5e-06,0.3,2
"3",9,2.32363160968985,100,5,0.01,0.1,2
"4",42,7.73256264858078,200,5,0.01,0.5,5
"5",1,0.00187129821083647,200,4,5e-05,0.2,2
"6",139,0.0469341376554368,1000,4,5e-05,0.2,2
"7",94,0.0943839865905615,1000,4,1e-04,0.3,2
"8",6,8.75633222281263,200,5,0.01,0.1,4
"9",14,0.039401448025224,500,5,1e-04,0.1,4
"10",1,0.00045939035784789,1000,4,5e-06,0.1,3
