"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",23,1.04820323643662e-06,100,5,5e-06,0.3,4
"2",1,0.0687268446109377,1000,10,1e-04,0.5,3
"3",23,0.000126041720600174,100,4,5e-05,0.2,5
"4",58,0.0207364655263475,1000,5,1e-04,0.5,3
"5",1,2.33641184285988e-06,100,10,5e-06,0.2,3
"6",83,0.518637318376014,5000,5,1e-04,0.2,3
"7",1,9.81860209615247,1000,10,0.005,0.2,3
"8",120,0.0500771937658956,1000,5,1e-04,0.2,5
"9",1,3.55128236775285,500,4,0.005,0.2,5
"10",36,19.5868262513022,5000,4,0.005,0.1,4
