"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",85,0.000397890265408502,200,5,1e-04,0.3,4
"2",1,0.0286824501526078,1000,10,1e-04,0.1,2
"3",1,0.00214638627200916,500,10,5e-05,0.3,2
"4",316,0.000489773525387743,500,5,5e-05,0.1,5
"5",39,0.676657175437042,200,5,0.01,0.1,4
"6",327,2.48175870105734e-05,1000,5,5e-06,0.1,2
"7",97,0.57605152943143,200,10,0.005,0.5,5
"8",35,1.53546750087135e-06,200,4,5e-06,0.1,3
"9",83,0.692917856565704,200,5,0.01,0.5,5
"10",55,1.22174813279149e-05,500,4,5e-06,0.1,3
