"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",51,0.155102001886175,500,10,1e-04,0.3,5
"2",71,0.571524160776485,1000,10,1e-04,0.3,5
"3",18,23.9860556322821,500,4,0.005,0.1,2
"4",234,0.000652438722362358,1000,5,5e-06,0.3,5
"5",1,151.700360697611,1000,10,0.01,0.2,5
"6",1,28.6639600410028,500,4,0.005,0.3,4
"7",1,16.8599455875998,100,10,0.01,0.5,2
"8",107,0.165662578803323,1000,5,1e-04,0.3,2
"9",245,0.0799206854605175,1000,5,5e-05,0.1,5
"10",1,37.3187438790543,1000,4,0.005,0.1,4
