"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,4.38274191745908e-06,100,10,5e-06,0.2,4
"2",4,4.0147104335524e-06,100,10,5e-06,0.3,3
"3",161,2.8638717748825,500,5,0.005,0.2,2
"4",111,4.42216490282525,500,10,0.005,0.2,2
"5",80,7.62962550144921e-05,500,10,5e-06,0.1,2
"6",175,7.48730372785373,1000,4,0.005,0.2,5
"7",79,20.9364460249887,1000,10,0.01,0.1,5
"8",302,0.000361966112681291,1000,5,5e-06,0.5,4
"9",65,12.2231870323323,500,10,0.01,0.2,4
"10",181,0.00676584756230791,500,4,1e-04,0.2,2
