"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",33,0.405087474861481,1000,5,0.01,0.3,4
"2",90,7.58240242404933e-07,500,4,5e-06,0.5,3
"3",9,0.251499194610639,500,5,0.01,0.2,5
"4",15,0.0628920942407398,100,10,0.01,0.3,2
"5",1,0.000199583909649483,500,4,5e-05,0.1,5
"6",22,0.0451992664127833,100,5,0.01,0.3,4
"7",39,0.00051763023621048,500,5,1e-04,0.1,2
"8",1,0.16403458118186,100,10,0.01,0.1,3
"9",1,0.440584368493445,1000,10,0.005,0.1,3
"10",1,0.0347855752499438,100,5,0.005,0.1,5
