"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.000899564931095456,1000,10,5e-06,0.1,4
"2",1,4.71258479206504,100,4,0.01,0.2,4
"3",10,7.53152671630727e-06,100,4,5e-06,0.2,4
"4",96,0.00723423520298498,500,4,5e-05,0.1,2
"5",136,0.0210257079013303,500,10,5e-05,0.2,4
"6",145,0.000109525590127273,500,5,5e-06,0.3,4
"7",1,0.0430278161817401,500,4,1e-04,0.5,3
"8",11,0.00703649710936111,200,5,1e-04,0.1,3
"9",5,7.31023859433571,100,10,0.01,0.5,3
"10",1,7.58108216048206e-06,100,5,5e-06,0.1,2
