"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",30,0.0299645616338228,100,5,0.005,0.1,5
"2",29,0.0619168274168578,200,10,0.005,0.3,2
"3",9,0.0280582039426606,100,5,0.005,0.1,2
"4",93,2.73935576857188e-06,500,10,5e-06,0.1,3
"5",403,3.92839713480627e-06,1000,5,5e-06,0.5,2
"6",124,0.236253172048111,1000,5,0.005,0.2,4
"7",145,0.211144117971231,1000,4,0.005,0.1,4
"8",582,0.000603797978504026,1000,4,1e-04,0.5,2
"9",6,0.000189824165164488,200,10,1e-04,0.5,2
"10",15,0.0231946361646732,100,4,0.005,0.1,2
