"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",9,0.265194618342384,1000,4,0.005,0.3,2
"2",46,0.0709685541483276,200,5,0.005,0.2,5
"3",1,1.06992196658887e-06,200,10,5e-06,0.5,2
"4",1,0.561464248736369,500,5,0.01,0.1,4
"5",1,1.24134286880042e-05,100,5,5e-05,0.2,4
"6",1,1.46170067162675,1000,10,0.01,0.2,5
"7",1,6.53139735147428e-05,200,5,5e-05,0.1,4
"8",1,3.0763401578019e-06,500,5,5e-06,0.2,2
"9",1,0.000298960339461566,500,4,5e-05,0.5,4
"10",1,7.6756659388597e-06,500,10,5e-06,0.2,4
