"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.0438184540650259,500,10,5e-05,0.3,4
"2",3,64.9201723137152,1000,5,0.01,0.2,5
"3",4,35.4397491682256,1000,4,0.005,0.1,2
"4",15,46.0372628995271,1000,5,0.005,0.3,4
"5",1,0.00368776303364025,100,4,1e-04,0.3,2
"6",1,0.00107881185740069,1000,5,5e-06,0.3,4
"7",1,42.2891343540323,500,10,0.005,0.1,2
"8",1,0.0335402724527062,200,10,1e-04,0.3,3
"9",2,0.00150043698778606,100,5,5e-05,0.3,5
"10",52,0.0329149694258847,500,10,5e-05,0.2,5
