"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.10767549429955,200,10,5e-05,0.1,3
"2",56,7.70303194260695,1000,10,1e-04,0.2,4
"3",9,0.00744404683708533,500,10,5e-06,0.1,2
"4",107,2.49743267617346,1000,10,5e-05,0.3,5
"5",1,117.888589363178,100,4,0.01,0.1,2
"6",5,0.0924695846650859,100,10,1e-04,0.2,2
"7",1,0.0218677165720641,1000,4,5e-06,0.2,4
"8",1,0.0219417307762817,100,5,5e-05,0.1,3
"9",1,0.0274087758584886,1000,10,5e-06,0.1,3
"10",223,27.2485453878345,5000,10,5e-05,0.3,3
