"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.000483943189634011,100,5,5e-06,0.1,2
"2",1,0.000516345170194119,100,4,5e-06,0.2,2
"3",1,0.04242368281363,1000,4,5e-06,0.5,3
"4",1,389.048960365861,100,4,0.01,0.1,3
"5",1,440.839132148141,200,5,0.005,0.2,3
"6",3,1889.63620559651,1000,4,0.005,0.5,5
"7",1,1629.09292133908,1000,4,0.005,0.1,5
"8",44,7.26592950199479,500,10,1e-04,0.2,4
"9",1,0.000703099206463732,100,5,5e-06,0.2,3
"10",1,7.95685064408717,1000,10,5e-05,0.5,2
