"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",269,2.66123532105786,1000,5,5e-05,0.1,5
"2",11,2148.93102861134,500,10,0.01,0.2,2
"3",54,1.12404631433231,200,10,1e-04,0.3,5
"4",117,1600.19699116052,1000,4,0.005,0.5,5
"5",36,0.00135992066098388,200,4,5e-06,0.3,3
"6",16,317.507803702573,100,5,0.01,0.1,5
"7",20,0.00131311734767953,200,4,5e-06,0.5,5
"8",14,0.718940281199933,200,10,1e-04,0.1,2
"9",23,2801.94209900993,1000,5,0.01,0.1,2
"10",18,0.107071086442532,100,5,1e-04,0.1,2
