"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",30,0.000179759948555527,100,5,5e-06,0.2,4
"2",1,513.233499159424,200,5,0.01,0.3,5
"3",9,0.000117853938159118,100,4,5e-06,0.5,4
"4",1,0.05236898445119,100,5,1e-04,0.5,3
"5",1,0.00750753178384402,500,5,5e-06,0.5,3
"6",1,0.0470547752099884,100,4,1e-04,0.3,4
"7",1,217.292851743815,100,4,0.01,0.2,5
"8",1,1939.507815486,1000,4,0.01,0.5,4
"9",16,0.00859574120337692,500,10,5e-06,0.2,5
"10",1,3.42935057001473,1000,5,1e-04,0.3,2
