"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.0678443288305085,500,10,1e-04,0.2,3
"2",14,1.44353498679731e-05,200,4,5e-06,0.5,5
"3",1,0.169181059507178,1000,10,5e-05,0.5,3
"4",282,0.0832767638342723,1000,4,1e-04,0.1,4
"5",6,5.03472326825945,200,5,0.005,0.1,5
"6",28,0.0135391140666275,500,10,5e-05,0.5,3
"7",1,1.63244322385526,100,4,0.005,0.2,5
"8",39,0.011408777710655,200,10,1e-04,0.2,4
"9",11,42.6552934146642,1000,10,0.005,0.2,5
"10",1,2.41738680629618,100,4,0.005,0.5,3
