"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",16,4.01814113589658e-06,100,4,1e-04,0.5,3
"2",1,5.92440182119061e-06,100,4,1e-04,0.3,2
"3",281,0.000151621745612043,1000,10,5e-05,0.3,3
"4",47,9.46017691328928e-06,200,10,5e-05,0.3,5
"5",52,0.00606546074014521,200,4,0.005,0.1,2
"6",38,0.0242505493482966,200,10,0.005,0.5,4
"7",32,1.28319060249608e-08,100,5,5e-06,0.5,4
"8",413,1.45250884446197e-06,1000,5,5e-06,0.1,4
"9",419,0.000114858022881933,1000,5,5e-05,0.3,3
"10",137,3.90989865802316e-05,500,10,5e-05,0.1,2
