"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,70.5932767083449,200,10,0.01,0.3,2
"2",1,6.79963406646308,200,5,0.005,0.5,2
"3",1,21.3276173230515,100,5,0.01,0.5,5
"4",16,0.00168577937715155,100,10,5e-05,0.5,4
"5",12,0.0040590219200932,100,10,5e-05,0.3,5
"6",1,75.5416684323228,1000,5,0.005,0.2,5
"7",76,0.871644534214218,1000,10,1e-04,0.3,4
"8",1,0.0559367363484468,200,10,1e-04,0.1,2
"9",1,0.155813742825895,500,4,1e-04,0.5,2
"10",63,10.7169116949579,5000,10,1e-04,0.5,3
