"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.10215131562737,1000,4,5e-06,0.2,3
"2",1,9549.29888982517,200,10,0.01,0.5,5
"3",1,0.148400392198408,100,4,5e-05,0.2,3
"4",1,0.602916735525179,1000,10,5e-06,0.1,5
"5",1,0.170181623406167,100,4,5e-05,0.1,4
"6",1,40.0048678739741,1000,10,5e-05,0.3,5
"7",25,1582.89470021644,200,4,0.005,0.2,4
"8",1,4450.82475079385,200,5,0.01,0.3,4
"9",1,106.591276496734,1000,10,1e-04,0.2,4
"10",1,21475.107646106,500,10,0.01,0.1,4
