"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",611,1.87840110588748,5000,5,1e-04,0.3,4
"2",31,18.5566262509276,500,5,0.01,0.3,4
"3",1,3.82070436988744e-05,200,10,5e-06,0.1,2
"4",296,0.0302646395922449,1000,10,5e-05,0.1,4
"5",236,0.024406482146163,1000,4,5e-05,0.1,5
"6",6,0.00463072492935192,200,5,1e-04,0.5,2
"7",4,15.4981962208992,500,4,0.005,0.3,3
"8",210,0.00287855667235541,500,4,5e-05,0.2,2
"9",1,0.0125064714989545,5000,5,5e-06,0.1,3
"10",23,2.13307703480583,100,10,0.005,0.1,4
