"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",2,0.00239291960872637,100,10,5e-05,0.1,2
"2",1,20.7022052657103,200,10,0.005,0.3,2
"3",1,0.0024194117187674,200,5,5e-05,0.3,3
"4",1,0.00183668717413951,1000,5,5e-06,0.5,3
"5",1,0.000430619626101414,500,5,5e-06,0.5,5
"6",3,50.8107643954923,500,4,0.01,0.1,2
"7",5,7.00946837687507e-05,200,5,5e-06,0.3,3
"8",1,0.0645721679566915,500,10,5e-05,0.3,4
"9",1,16.1455897321222,200,4,0.005,0.3,5
"10",1,15.0736854262266,100,4,0.01,0.3,5
