"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.000884603453671312,100,10,5e-05,0.1,4
"2",51,3.15499741494083,5000,10,1e-04,0.3,3
"3",1,9.53794956255833,200,5,0.01,0.1,5
"4",3,3.99615676227911,200,5,0.005,0.5,5
"5",21,0.0145918341804653,500,4,1e-04,0.1,2
"6",1,5.06230891742122,200,4,0.01,0.3,2
"7",420,0.277366890824323,5000,5,5e-05,0.3,2
"8",1,0.00754869410957937,5000,4,5e-06,0.5,3
"9",52,4.18873218660626e-05,500,5,5e-06,0.2,2
"10",99,5.79118522501403,500,4,0.005,0.3,5
