"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.391790394672044,500,10,5e-05,0.3,5
"2",1,0.101186046046992,5000,4,5e-06,0.1,2
"3",1,232.332037306811,200,4,0.01,0.5,5
"4",1,402.425749221714,1000,5,0.005,0.1,3
"5",1,1902.08338107999,5000,10,0.005,0.5,3
"6",1,0.522715490726811,500,4,1e-04,0.5,5
"7",1,61.5947138091079,200,5,0.005,0.5,2
"8",1,5.57443282220431,1000,10,1e-04,0.1,4
"9",27,1648.82188328776,5000,10,0.005,0.3,4
"10",1,0.436689485241114,500,5,1e-04,0.3,3
