"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",472,0.00270913832576587,5000,4,5e-06,0.2,3
"2",42,1.97187351537467,200,5,0.005,0.5,5
"3",1,0.0316578029188962,1000,5,1e-04,0.5,2
"4",54,0.000365460232652822,200,4,5e-05,0.1,3
"5",416,0.0904127775284094,1000,10,1e-04,0.1,3
"6",270,0.00116529339284501,500,5,5e-05,0.5,2
"7",44,26.2479410064412,5000,4,0.01,0.3,5
"8",2,2.00230530071982e-06,100,4,5e-06,0.1,5
"9",1,0.000668240826904694,100,4,1e-04,0.5,3
"10",19,0.525078062221626,100,4,0.005,0.5,3
