"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,8.2785561280921e-05,500,4,5e-06,0.3,5
"2",1,9.9157369985813e-06,200,5,5e-06,0.5,4
"3",1,10.0825263052484,1000,4,0.01,0.2,3
"4",1,0.352768638757372,5000,5,5e-05,0.3,3
"5",1,12.8702681007356,500,10,0.005,0.5,3
"6",1212,0.00370125191992241,5000,10,5e-06,0.2,3
"7",1,6.03472007005238,500,5,0.01,0.3,2
"8",1,10.3022507712169,200,10,0.01,0.5,3
"9",1,1.62598334346892,5000,4,1e-04,0.2,3
"10",1,5.15719367940525e-05,500,4,5e-06,0.5,5
