"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,1.72754162711966,5000,4,1e-04,0.2,2
"2",1,0.000228558060290079,1000,5,5e-06,0.2,5
"3",1,0.00127482397764548,200,5,5e-05,0.1,5
"4",1,7.83334281720123e-05,500,5,5e-06,0.1,5
"5",1,0.375398989188133,5000,4,5e-05,0.1,5
"6",1,0.021265053812809,500,5,1e-04,0.2,4
"7",1,4.12677094656785,200,10,0.005,0.2,2
"8",1,35.5786480897654,1000,10,0.005,0.2,2
"9",1,6.3910356978661,500,4,0.005,0.3,3
"10",1,0.0010071830025822,200,5,5e-05,0.3,2
