"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,51.0518441118252,5000,5,0.01,0.5,4
"2",1,0.187845627583079,1000,5,1e-04,0.1,4
"3",1,0.003993107258288,5000,4,5e-06,0.3,2
"4",1,50.325895195794,5000,5,0.01,0.2,3
"5",1,0.0164222682837314,500,10,5e-05,0.3,5
"6",1,0.00720914914818259,500,10,5e-05,0.5,3
"7",1,0.000101288533376076,500,5,5e-06,0.5,5
"8",1,29.2640803123139,500,10,0.01,0.2,2
"9",1,0.00504788201751027,200,10,1e-04,0.2,3
"10",1,0.0257895486259361,500,5,1e-04,0.3,4
