"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",83,0.0152349137976377,200,4,1e-04,0.1,3
"2",1,6.25413476956207,100,4,0.01,0.2,5
"3",130,0.000252015085445183,500,5,5e-06,0.5,5
"4",1,0.0024243524017388,100,10,5e-05,0.3,3
"5",36,2.45296814454611e-06,100,5,5e-06,0.2,2
"6",1,0.00258458844992867,100,10,5e-05,0.2,3
"7",1,59.7194511382907,1000,10,0.005,0.3,3
"8",44,3.52042748060042e-06,200,4,5e-06,0.3,2
"9",1,5.72031924315639,200,4,0.005,0.3,5
"10",1,5.55611737360147e-06,100,5,5e-06,0.3,4
