"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",34,0.0181750252400546,200,5,1e-04,0.1,5
"2",272,0.00922857982925449,500,4,5e-05,0.5,3
"3",1,0.0549451128051287,500,5,5e-05,0.5,3
"4",74,0.209971374402986,1000,10,5e-05,0.2,4
"5",28,0.00756961038100367,200,5,5e-05,0.1,5
"6",1,0.0180659452568072,200,10,5e-05,0.2,5
"7",10,0.0344327133510711,200,5,1e-04,0.5,5
"8",10,0.00254305687448102,100,10,5e-05,0.1,4
"9",26,14.9746260127252,200,5,0.01,0.1,2
"10",252,0.00206047839107662,1000,5,5e-06,0.2,5
