"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.00373203302701924,200,4,1e-04,0.1,2
"2",1,0.160640452647017,500,10,1e-04,0.5,3
"3",1,0.0175487055649078,500,4,5e-05,0.3,2
"4",1,30.7330461292336,500,5,0.005,0.1,5
"5",93,0.0398656796618885,200,10,1e-04,0.5,5
"6",6,0.043440485776409,500,5,1e-04,0.2,3
"7",1,0.000990654747211378,500,10,5e-06,0.3,4
"8",64,0.0380567640130619,200,10,1e-04,0.2,4
"9",1,0.00110543244182909,100,4,5e-05,0.5,5
"10",1,0.00453945413184806,200,5,5e-05,0.5,5
