"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.00389468586667167,500,4,5e-05,0.2,5
"2",1,0.231832128957562,5000,4,5e-05,0.5,4
"3",1,0.00892149496688982,500,4,1e-04,0.2,4
"4",1,0.000100910246453029,100,4,5e-05,0.2,2
"5",1,42.0678272401419,5000,10,0.01,0.3,5
"6",1,0.183830351282457,5000,4,5e-05,0.3,5
"7",1,0.175046779728686,5000,5,5e-05,0.2,5
"8",1,3.62227631838649,200,10,0.005,0.3,5
"9",1,0.00194626736476869,5000,4,5e-06,0.1,2
"10",22,8.0166747760315,1000,5,0.01,0.3,2
