"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",41,12.1706609564371,5000,5,0.005,0.5,4
"2",17,4.46650788133601,200,10,0.01,0.5,4
"3",1,0.000123646915351406,100,5,5e-05,0.2,3
"4",1,1.05487700507423,100,10,0.005,0.3,4
"5",2,0.000639175617939624,200,10,5e-05,0.5,3
"6",1,2.81228352856851e-05,500,4,5e-06,0.5,5
"7",1,0.0229453686439551,1000,4,1e-04,0.2,5
"8",1,0.0037023856495336,5000,10,5e-06,0.3,2
"9",1,0.000575715909938649,100,5,1e-04,0.1,5
"10",1,1.6745881498964,200,5,0.005,0.2,5
