"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",11,3.18247980504471e-06,100,4,5e-06,0.5,2
"2",1,7.59604433787274,200,5,0.005,0.2,5
"3",20,1.55676258093901,5000,5,1e-04,0.5,4
"4",1,13.6077714480828,200,5,0.01,0.2,3
"5",6,0.00323702415257111,200,10,5e-05,0.3,5
"6",1,0.229516410411988,1000,5,1e-04,0.1,4
"7",23,6.17696731617562,200,4,0.01,0.5,5
"8",48,54.7687242683349,5000,5,0.005,0.5,5
"9",8,38.0887353319909,1000,10,0.005,0.2,4
"10",1,0.0231838595796483,1000,4,5e-05,0.1,3
