"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,0.236703139828326,5000,4,0.005,0.2,5
"2",1,2.36374199076525e-05,200,5,1e-04,0.1,2
"3",35,2.29382726133247e-05,100,10,1e-04,0.3,3
"4",1,0.620224104686,5000,10,0.01,0.5,5
"5",1,1.53091044256001e-05,200,4,5e-05,0.2,4
"6",1,0.233028751530857,5000,10,0.005,0.5,2
"7",1,0.149158829270121,5000,4,0.005,0.2,3
"8",1,0.0921931445881609,500,5,0.01,0.1,2
"9",1,0.190983178453911,5000,5,0.005,0.2,5
"10",2,1.985072519244e-06,100,4,5e-05,0.3,2
