"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",2,394.875567198597,5000,10,0.005,0.2,5
"2",44,251.128053614558,5000,5,0.005,0.5,2
"3",5,0.00127533400431097,100,4,5e-05,0.2,4
"4",18,368.825404495524,5000,5,0.01,0.1,3
"5",28,35.0198822270293,500,5,0.005,0.2,4
"6",1,0.0335413971214355,200,4,1e-04,0.3,2
"7",1,0.00164200532964165,1000,5,5e-06,0.2,2
"8",23,4.49984294266435,100,4,0.005,0.5,3
"9",43,0.0135802928358694,200,10,5e-05,0.1,5
"10",16,381.768853998649,5000,5,0.01,0.2,4
