"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",4,30.4398495104578,200,5,0.01,0.3,2
"2",1,0.00924800383434429,200,5,5e-05,0.1,2
"3",1,13.3260552427412,100,5,0.005,0.3,5
"4",1,25.922062521516,100,10,0.01,0.2,3
"5",1,0.000451189807914266,500,4,5e-06,0.5,2
"6",319,0.000971579248671977,1000,5,5e-06,0.5,4
"7",5,25.901021804416,200,10,0.005,0.5,4
"8",1,139.773300322399,1000,4,0.01,0.3,2
"9",1,0.984944501696834,1000,10,1e-04,0.2,4
"10",1,0.0518007134784811,500,4,5e-05,0.1,3
