"","num_trees_min_effect","mean_cvm_effect","max_num_trees","max_leaves","eps","split_spread","nfolds"
"1",1,1.56607344753536e-05,100,5,5e-06,0.1,2
"2",1,0.00122469825984002,500,10,5e-06,0.1,5
"3",281,12.0623928674046,5000,10,1e-04,0.5,2
"4",66,0.000174533471341063,500,4,5e-06,0.2,3
"5",4,57.6754465802002,500,4,0.01,0.2,4
"6",24,225.17939653419,5000,4,0.005,0.1,4
"7",269,0.102781023849199,5000,10,5e-06,0.5,4
"8",1,0.038644450119038,5000,4,5e-06,0.1,4
"9",1,24.3615414345477,100,5,0.01,0.3,2
"10",145,0.155828407278204,1000,4,5e-05,0.5,4
